trxn_amt,qty,cust_age,fraudulent,acct_age_days,trxn_hour,year,month,day,pmt_method_PayPal,pmt_method_bank transfer,pmt_method_credit card,pmt_method_debit card,product_cat_clothing,product_cat_electronics,product_cat_health & beauty,product_cat_home & garden,product_cat_toys & games,cust_device_desktop,cust_device_mobile,cust_device_tablet
42.32,1,40,0,282,23,2024,3,24,True,False,False,False,False,True,False,False,False,True,False,False
301.34,3,35,0,223,0,2024,1,22,False,False,True,False,False,True,False,False,False,False,False,True
340.32,5,29,0,360,8,2024,1,22,False,False,False,True,False,False,False,False,True,True,False,False
95.77,5,45,0,325,20,2024,1,16,False,False,True,False,False,True,False,False,False,False,True,False
77.45,5,42,0,116,15,2024,1,16,False,False,True,False,True,False,False,False,False,True,False,False
345.27,1,9,0,251,13,2024,2,22,True,False,False,False,False,False,False,False,True,True,False,False
53.69,3,41,0,138,13,2024,3,21,False,False,False,True,False,False,False,False,True,False,True,False
680.17,5,39,0,36,23,2024,1,18,False,False,False,True,False,True,False,False,False,False,False,True
126.5,4,35,0,188,4,2024,2,12,False,False,False,True,False,False,False,True,False,False,True,False
47.18,4,19,0,245,22,2024,4,6,False,True,False,False,False,False,False,False,True,False,True,False
137.74,2,24,0,256,12,2024,3,21,True,False,False,False,False,False,True,False,False,False,True,False
141.09,1,53,0,205,0,2024,3,30,True,False,False,False,False,False,True,False,False,False,True,False
95.13,4,51,0,95,19,2024,1,25,False,False,True,False,False,True,False,False,False,False,True,False
260.69,5,15,0,158,2,2024,2,19,False,False,False,True,False,True,False,False,False,False,False,True
70.66,3,42,0,209,16,2024,3,22,False,False,False,True,False,False,False,True,False,False,False,True
36.12,2,39,0,301,14,2024,3,26,True,False,False,False,False,False,False,False,True,False,False,True
57.91,3,33,0,352,17,2024,3,25,False,False,False,True,False,False,False,True,False,False,True,False
10.14,1,24,0,347,5,2024,2,13,False,False,True,False,False,False,False,True,False,False,True,False
261.52,1,37,0,72,11,2024,2,22,False,False,True,False,False,False,False,False,True,False,True,False
258.23,4,41,0,44,22,2024,1,14,True,False,False,False,False,False,False,False,True,False,False,True
438.16,1,34,0,118,12,2024,2,28,False,False,True,False,False,True,False,False,False,False,False,True
206.21,1,37,0,60,19,2024,2,2,False,False,False,True,False,True,False,False,False,True,False,False
520.27,2,18,0,213,2,2024,2,6,True,False,False,False,False,False,False,False,True,False,True,False
412.96,2,33,0,211,17,2024,3,1,False,False,True,False,False,False,False,True,False,True,False,False
183.6,3,27,0,360,21,2024,1,14,False,True,False,False,False,True,False,False,False,False,False,True
112.26,4,48,0,271,3,2024,1,26,False,False,False,True,False,False,False,True,False,True,False,False
23.67,5,35,0,58,6,2024,2,8,False,True,False,False,False,True,False,False,False,True,False,False
148.94,3,45,0,297,0,2024,3,16,True,False,False,False,True,False,False,False,False,False,True,False
369.54,5,22,0,336,13,2024,2,14,False,False,False,True,False,False,False,False,True,False,False,True
530.41,5,40,0,341,7,2024,2,20,False,False,False,True,True,False,False,False,False,False,True,False
149.24,2,25,0,103,20,2024,1,24,True,False,False,False,False,False,False,True,False,False,False,True
630.67,1,37,0,26,9,2024,3,16,False,False,False,True,False,False,False,True,False,False,True,False
277.73,2,14,0,170,2,2024,1,4,True,False,False,False,True,False,False,False,False,False,False,True
428.88,3,28,0,47,16,2024,2,4,False,False,True,False,False,False,False,True,False,False,False,True
77.27,4,45,0,61,4,2024,4,7,True,False,False,False,True,False,False,False,False,False,False,True
13.91,2,44,0,326,3,2024,4,6,False,False,False,True,False,False,False,True,False,True,False,False
222.0,1,51,1,194,4,2024,3,25,False,True,False,False,False,False,False,True,False,False,False,True
69.19,2,32,0,282,16,2024,2,2,True,False,False,False,False,False,False,False,True,False,False,True
395.73,1,44,0,69,6,2024,1,31,False,False,True,False,True,False,False,False,False,True,False,False
182.1,3,46,0,70,3,2024,3,27,True,False,False,False,False,False,False,True,False,False,True,False
194.5,2,28,0,173,14,2024,1,12,False,False,True,False,True,False,False,False,False,False,False,True
664.16,5,33,0,108,16,2024,3,26,True,False,False,False,False,False,False,True,False,False,True,False
52.34,1,34,0,224,15,2024,3,30,True,False,False,False,False,True,False,False,False,True,False,False
717.55,1,17,0,280,20,2024,3,30,True,False,False,False,True,False,False,False,False,False,False,True
23.01,4,37,0,326,18,2024,1,9,False,True,False,False,False,False,False,False,True,False,False,True
32.75,5,60,0,214,11,2024,3,7,True,False,False,False,False,False,False,False,True,True,False,False
276.34,4,33,0,234,18,2024,2,10,False,False,True,False,False,False,False,True,False,True,False,False
231.5,5,22,0,221,20,2024,2,18,True,False,False,False,False,False,False,True,False,False,True,False
149.6,5,23,0,85,23,2024,2,10,False,True,False,False,True,False,False,False,False,False,False,True
54.74,2,37,0,126,13,2024,3,2,False,False,True,False,False,False,True,False,False,False,False,True
15.7,4,30,0,261,22,2024,4,2,False,False,True,False,False,False,True,False,False,False,True,False
438.35,1,26,0,358,2,2024,3,27,True,False,False,False,False,False,False,True,False,False,True,False
14.63,2,35,0,249,21,2024,1,8,False,False,True,False,False,False,False,False,True,False,True,False
327.33,4,37,0,259,0,2024,1,21,False,True,False,False,False,False,False,True,False,False,False,True
28.34,1,44,0,71,18,2024,2,28,False,False,True,False,False,False,False,False,True,False,True,False
543.58,5,31,0,191,15,2024,2,5,False,True,False,False,False,True,False,False,False,False,False,True
132.65,1,26,0,305,8,2024,3,5,False,False,False,True,False,False,False,False,True,True,False,False
83.62,1,30,0,204,15,2024,2,8,False,False,False,True,False,False,False,True,False,False,True,False
18.89,1,31,0,136,10,2024,3,5,False,False,False,True,False,False,False,False,True,False,False,True
387.23,1,48,0,233,18,2024,3,29,False,False,False,True,False,True,False,False,False,True,False,False
591.77,4,27,0,126,17,2024,3,6,False,False,False,True,False,False,True,False,False,True,False,False
13.56,4,20,0,165,11,2024,4,1,True,False,False,False,False,False,True,False,False,False,False,True
47.9,1,43,0,85,3,2024,2,6,True,False,False,False,False,False,False,True,False,True,False,False
249.49,3,38,0,285,14,2024,4,2,False,False,True,False,False,True,False,False,False,False,True,False
276.29,3,32,0,140,4,2024,2,27,False,False,True,False,False,False,False,True,False,True,False,False
679.85,5,24,0,179,21,2024,1,18,False,False,True,False,False,True,False,False,False,False,False,True
416.46,1,41,0,234,22,2024,1,12,False,False,True,False,True,False,False,False,False,False,True,False
126.99,1,34,0,175,21,2024,3,16,False,True,False,False,True,False,False,False,False,False,True,False
58.34,2,47,0,224,11,2024,1,15,True,False,False,False,False,True,False,False,False,False,True,False
40.56,2,32,0,232,4,2024,3,19,False,False,False,True,False,True,False,False,False,False,False,True
50.27,3,39,0,44,1,2024,2,17,False,True,False,False,False,False,True,False,False,False,False,True
98.96,2,47,0,195,20,2024,3,11,True,False,False,False,False,True,False,False,False,False,False,True
85.46,3,17,0,65,2,2024,2,21,False,False,False,True,False,False,False,False,True,False,True,False
270.37,2,25,0,345,7,2024,2,9,False,True,False,False,False,False,True,False,False,False,False,True
39.58,4,41,0,151,3,2024,3,12,False,False,False,True,False,True,False,False,False,True,False,False
86.6,5,20,0,47,5,2024,3,10,False,True,False,False,False,False,False,True,False,True,False,False
153.8,2,31,0,124,12,2024,1,10,False,False,False,True,False,False,False,True,False,False,True,False
25.72,5,40,0,228,6,2024,1,16,False,False,True,False,True,False,False,False,False,True,False,False
12.95,3,32,0,196,9,2024,1,25,False,False,True,False,False,False,True,False,False,True,False,False
633.19,3,20,0,197,2,2024,2,23,False,True,False,False,False,True,False,False,False,True,False,False
669.81,4,36,0,179,1,2024,3,21,False,True,False,False,False,True,False,False,False,False,False,True
93.52,1,31,0,328,12,2024,2,6,False,False,True,False,False,True,False,False,False,True,False,False
218.66,3,45,0,96,18,2024,4,5,False,False,True,False,False,False,False,False,True,True,False,False
664.32,3,26,0,336,10,2024,1,31,False,False,False,True,True,False,False,False,False,True,False,False
120.59,1,44,0,68,0,2024,2,4,False,False,True,False,False,False,True,False,False,False,True,False
224.9,2,36,0,199,13,2024,3,24,False,True,False,False,False,False,True,False,False,True,False,False
159.0,3,28,0,148,22,2024,3,3,False,False,False,True,False,False,False,True,False,True,False,False
672.55,3,43,0,340,2,2024,1,18,False,True,False,False,False,False,True,False,False,True,False,False
511.49,4,46,0,52,4,2024,3,16,True,False,False,False,True,False,False,False,False,True,False,False
11.97,5,43,0,280,6,2024,2,7,False,True,False,False,False,False,True,False,False,False,True,False
241.73,4,45,0,4,18,2024,3,2,False,False,True,False,False,False,True,False,False,False,False,True
45.76,3,43,0,92,2,2024,3,16,True,False,False,False,False,False,True,False,False,False,True,False
86.88,1,31,0,298,16,2024,4,3,True,False,False,False,False,False,False,True,False,True,False,False
25.33,2,25,0,297,13,2024,2,13,True,False,False,False,False,False,False,False,True,False,True,False
183.64,2,41,0,79,11,2024,1,22,False,False,True,False,True,False,False,False,False,False,False,True
38.71,1,44,0,229,18,2024,3,15,False,False,True,False,False,False,True,False,False,False,True,False
95.39,4,37,0,315,21,2024,1,4,True,False,False,False,True,False,False,False,False,True,False,False
15.33,5,17,0,14,1,2024,3,28,False,True,False,False,False,False,False,True,False,True,False,False
196.86,5,50,0,94,13,2024,4,2,True,False,False,False,False,False,False,True,False,False,False,True
227.67,3,45,0,31,5,2024,1,18,True,False,False,False,False,False,True,False,False,True,False,False
387.35,3,41,0,30,9,2024,1,27,True,False,False,False,False,False,False,True,False,False,True,False
236.13,5,15,0,255,7,2024,2,23,True,False,False,False,False,False,False,False,True,False,False,True
189.69,2,28,0,304,16,2024,2,7,True,False,False,False,False,False,False,True,False,True,False,False
201.11,4,37,0,34,6,2024,2,28,True,False,False,False,False,False,False,True,False,True,False,False
34.73,1,29,0,100,15,2024,2,14,False,False,True,False,False,False,False,False,True,True,False,False
241.31,1,47,0,3,12,2024,1,14,False,False,False,True,True,False,False,False,False,True,False,False
41.63,2,44,0,238,9,2024,1,14,False,False,True,False,False,False,False,True,False,True,False,False
106.34,2,24,0,38,16,2024,3,21,False,False,False,True,False,True,False,False,False,False,True,False
260.59,1,42,0,306,2,2024,3,22,False,False,True,False,True,False,False,False,False,True,False,False
