trxn_amt,pmt_method,product_cat,qty,cust_age,cust_loc,cust_device,fraudulent,acct_age_days,trxn_hour,year,month,day
42.32,PayPal,electronics,1,40,East Jameshaven,desktop,0,282,23,2024,3,24
301.34,credit card,electronics,3,35,Kingstad,tablet,0,223,0,2024,1,22
340.32,debit card,toys & games,5,29,North Ryan,desktop,0,360,8,2024,1,22
95.77,credit card,electronics,5,45,Kaylaville,mobile,0,325,20,2024,1,16
77.45,credit card,clothing,5,42,North Edwardborough,desktop,0,116,15,2024,1,16
345.27,PayPal,toys & games,1,9,Johnsonmouth,desktop,0,251,13,2024,2,22
53.69,debit card,toys & games,3,41,New Brendamouth,mobile,0,138,13,2024,3,21
680.17,debit card,electronics,5,39,South Tracy,tablet,0,36,23,2024,1,18
126.5,debit card,home & garden,4,35,West Henry,mobile,0,188,4,2024,2,12
47.18,bank transfer,toys & games,4,19,Taylorside,mobile,0,245,22,2024,4,6
137.74,PayPal,health & beauty,2,24,East Scottburgh,mobile,0,256,12,2024,3,21
141.09,PayPal,health & beauty,1,53,Lake Cynthiafurt,mobile,0,205,0,2024,3,30
95.13,credit card,electronics,4,51,New Elizabethbury,mobile,0,95,19,2024,1,25
260.69,debit card,electronics,5,15,New Aaronport,tablet,0,158,2,2024,2,19
70.66,debit card,home & garden,3,42,West Jamesbury,tablet,0,209,16,2024,3,22
36.12,PayPal,toys & games,2,39,East Joshua,tablet,0,301,14,2024,3,26
57.91,debit card,home & garden,3,33,Annamouth,mobile,0,352,17,2024,3,25
10.14,credit card,home & garden,1,24,Howardchester,mobile,0,347,5,2024,2,13
261.52,credit card,toys & games,1,37,East William,mobile,0,72,11,2024,2,22
258.23,PayPal,toys & games,4,41,Arnoldburgh,tablet,0,44,22,2024,1,14
438.16,credit card,electronics,1,34,Jenniferberg,tablet,0,118,12,2024,2,28
206.21,debit card,electronics,1,37,Martineztown,desktop,0,60,19,2024,2,2
520.27,PayPal,toys & games,2,18,South Edwardborough,mobile,0,213,2,2024,2,6
412.96,credit card,home & garden,2,33,Port Sean,desktop,0,211,17,2024,3,1
183.6,bank transfer,electronics,3,27,Port Richardberg,tablet,0,360,21,2024,1,14
112.26,debit card,home & garden,4,48,New Dianebury,desktop,0,271,3,2024,1,26
23.67,bank transfer,electronics,5,35,East Keithmouth,desktop,0,58,6,2024,2,8
148.94,PayPal,clothing,3,45,Barneschester,mobile,0,297,0,2024,3,16
369.54,debit card,toys & games,5,22,Port Richard,tablet,0,336,13,2024,2,14
530.41,debit card,clothing,5,40,East Williamview,mobile,0,341,7,2024,2,20
149.24,PayPal,home & garden,2,25,Palmerland,tablet,0,103,20,2024,1,24
630.67,debit card,home & garden,1,37,North Alexander,mobile,0,26,9,2024,3,16
277.73,PayPal,clothing,2,14,Marcbury,tablet,0,170,2,2024,1,4
428.88,credit card,home & garden,3,28,Colehaven,tablet,0,47,16,2024,2,4
77.27,PayPal,clothing,4,45,Mendozaside,tablet,0,61,4,2024,4,7
13.91,debit card,home & garden,2,44,Allenfurt,desktop,0,326,3,2024,4,6
222.0,bank transfer,home & garden,1,51,Robinton,tablet,1,194,4,2024,3,25
69.19,PayPal,toys & games,2,32,Mooreside,tablet,0,282,16,2024,2,2
395.73,credit card,clothing,1,44,West Erictown,desktop,0,69,6,2024,1,31
182.1,PayPal,home & garden,3,46,East Alexandria,mobile,0,70,3,2024,3,27
194.5,credit card,clothing,2,28,Port Karen,tablet,0,173,14,2024,1,12
664.16,PayPal,home & garden,5,33,Josephtown,mobile,0,108,16,2024,3,26
52.34,PayPal,electronics,1,34,New Theresastad,desktop,0,224,15,2024,3,30
717.55,PayPal,clothing,1,17,Coxport,tablet,0,280,20,2024,3,30
23.01,bank transfer,toys & games,4,37,Margaretside,tablet,0,326,18,2024,1,9
32.75,PayPal,toys & games,5,60,Jaredborough,desktop,0,214,11,2024,3,7
276.34,credit card,home & garden,4,33,Finleychester,desktop,0,234,18,2024,2,10
231.5,PayPal,home & garden,5,22,Johnland,mobile,0,221,20,2024,2,18
149.6,bank transfer,clothing,5,23,Jessicafort,tablet,0,85,23,2024,2,10
54.74,credit card,health & beauty,2,37,Sawyerside,tablet,0,126,13,2024,3,2
15.7,credit card,health & beauty,4,30,Bennettmouth,mobile,0,261,22,2024,4,2
438.35,PayPal,home & garden,1,26,Port Angela,mobile,0,358,2,2024,3,27
14.63,credit card,toys & games,2,35,Kylebury,mobile,0,249,21,2024,1,8
327.33,bank transfer,home & garden,4,37,Shaneland,tablet,0,259,0,2024,1,21
28.34,credit card,toys & games,1,44,Michaelhaven,mobile,0,71,18,2024,2,28
543.58,bank transfer,electronics,5,31,North Gabrielleshire,tablet,0,191,15,2024,2,5
132.65,debit card,toys & games,1,26,Jamesview,desktop,0,305,8,2024,3,5
83.62,debit card,home & garden,1,30,Port Crystalborough,mobile,0,204,15,2024,2,8
18.89,debit card,toys & games,1,31,Millerfurt,tablet,0,136,10,2024,3,5
387.23,debit card,electronics,1,48,Timothyshire,desktop,0,233,18,2024,3,29
591.77,debit card,health & beauty,4,27,Brewertown,desktop,0,126,17,2024,3,6
13.56,PayPal,health & beauty,4,20,Harmonfort,tablet,0,165,11,2024,4,1
47.9,PayPal,home & garden,1,43,South Justinshire,desktop,0,85,3,2024,2,6
249.49,credit card,electronics,3,38,South Jesseport,mobile,0,285,14,2024,4,2
276.29,credit card,home & garden,3,32,Luisstad,desktop,0,140,4,2024,2,27
